Change Physical Footprint: Designator=B1 Old Footprint=MCABT-408-RC New Footprint=MCABT-408-RC
Change Physical Footprint: Designator=B2 Old Footprint=BUTTON_SMD New Footprint=BUTTON_SMD
Change Physical Footprint: Designator=B3 Old Footprint=BUTTON_SMD New Footprint=BUTTON_SMD
Change Physical Footprint: Designator=C1 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=C2 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=C3 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=C4 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=C5 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=C6 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=C7 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=C8 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=C9 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=C10 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=C11 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=CN1 Old Footprint=47346-1001 New Footprint=47346-1001
Change Physical Footprint: Designator=D1 Old Footprint=SOD-128 New Footprint=SOD-128
Change Physical Footprint: Designator=D2 Old Footprint=SOD-128 New Footprint=SOD-128
Change Physical Footprint: Designator=L1 Old Footprint=SOT-23 New Footprint=SOT-23
Change Physical Footprint: Designator=L2 Old Footprint=SOT-23 New Footprint=SOT-23
Change Physical Footprint: Designator=L3 Old Footprint=SOT-23 New Footprint=SOT-23
Change Physical Footprint: Designator=L4 Old Footprint=SOT-23 New Footprint=SOT-23
Change Physical Footprint: Designator=L5 Old Footprint=SOT-23 New Footprint=SOT-23
Change Physical Footprint: Designator=L6 Old Footprint=SOT-23 New Footprint=SOT-23
Change Physical Footprint: Designator=L7 Old Footprint=SOT-23 New Footprint=SOT-23
Change Physical Footprint: Designator=L8 Old Footprint=SOT-23 New Footprint=SOT-23
Change Physical Footprint: Designator=L9 Old Footprint=SOT-23 New Footprint=SOT-23
Change Physical Footprint: Designator=L10 Old Footprint=SOT-23 New Footprint=SOT-23
Change Physical Footprint: Designator=P1 Old Footprint=HDR1X2 New Footprint=HDR1X2
Change Physical Footprint: Designator=P2 Old Footprint=HDR1X2 New Footprint=HDR1X2
Change Physical Footprint: Designator=P6 Old Footprint=HDR1X4 New Footprint=HDR1X4
Change Physical Footprint: Designator=P7 Old Footprint=HDR1X8 New Footprint=HDR1X8
Change Physical Footprint: Designator=R1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R3 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R4 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R6 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R7 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R8 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R9 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R10 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R11 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R12 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R13 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R14 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R15 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R16 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R17 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R18 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R19 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R20 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R21 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R22 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R23 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R24 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R25 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=T1 Old Footprint=SOT-323 New Footprint=SOT-323
Change Physical Footprint: Designator=T2 Old Footprint=SOT-323 New Footprint=SOT-323
Change Physical Footprint: Designator=U1 Old Footprint=SSOP-28_N New Footprint=SSOP-28_N
Change Physical Footprint: Designator=U2 Old Footprint=SOT-223-3 New Footprint=SOT-223-3
Change Physical Footprint: Designator=U3 Old Footprint=ESP8266-12E New Footprint=ESP8266-12E
Change Physical Footprint: Designator=U4 Old Footprint=QFN50P400X400X95-25N New Footprint=QFN50P400X400X95-25N
